TCP Flow ID     Source    Target    Size            Start time (ns)   End time (ns)     Duration        Sent            Progress     Avg. rate       Finished?     Metadata
77              687       651       40.00 Mbit      231000000000      238802190506      7802.19 ms      40.00 Mbit      100.0%       5.1 Mbit/s      YES           handover_eval
78              632       711       40.00 Mbit      234000000000      241043510331      7043.51 ms      40.00 Mbit      100.0%       5.7 Mbit/s      YES           handover_eval
79              627       631       40.00 Mbit      237000000000      244396581065      7396.58 ms      40.00 Mbit      100.0%       5.4 Mbit/s      YES           handover_eval
80              654       658       40.00 Mbit      240000000000      249982464086      9982.46 ms      40.00 Mbit      100.0%       4.0 Mbit/s      YES           handover_eval
81              668       694       40.00 Mbit      243000000000      250980865595      7980.87 ms      40.00 Mbit      100.0%       5.0 Mbit/s      YES           handover_eval
82              639       662       40.00 Mbit      246000000000      252788031491      6788.03 ms      40.00 Mbit      100.0%       5.9 Mbit/s      YES           handover_eval
83              707       629       40.00 Mbit      249000000000      257312263659      8312.26 ms      40.00 Mbit      100.0%       4.8 Mbit/s      YES           handover_eval
84              685       690       40.00 Mbit      252000000000      259825791352      7825.79 ms      40.00 Mbit      100.0%       5.1 Mbit/s      YES           handover_eval
85              693       627       40.00 Mbit      255000000000      275450481523      20450.48 ms     40.00 Mbit      100.0%       2.0 Mbit/s      YES           handover_eval
86              724       627       40.00 Mbit      258000000000      276474917011      18474.92 ms     40.00 Mbit      100.0%       2.2 Mbit/s      YES           handover_eval
87              679       628       40.00 Mbit      261000000000      273245710818      12245.71 ms     40.00 Mbit      100.0%       3.3 Mbit/s      YES           handover_eval
88              655       722       40.00 Mbit      264000000000      270179925527      6179.93 ms      40.00 Mbit      100.0%       6.5 Mbit/s      YES           handover_eval
89              679       642       40.00 Mbit      267000000000      273049827337      6049.83 ms      40.00 Mbit      100.0%       6.6 Mbit/s      YES           handover_eval
90              723       721       40.00 Mbit      270000000000      284158211896      14158.21 ms     40.00 Mbit      100.0%       2.8 Mbit/s      YES           handover_eval
91              674       704       40.00 Mbit      273000000000      278878914788      5878.91 ms      40.00 Mbit      100.0%       6.8 Mbit/s      YES           handover_eval
92              657       681       40.00 Mbit      276000000000      290378009862      14378.01 ms     40.00 Mbit      100.0%       2.8 Mbit/s      YES           handover_eval
93              698       633       40.00 Mbit      279000000000      283306590679      4306.59 ms      40.00 Mbit      100.0%       9.3 Mbit/s      YES           handover_eval
94              673       702       40.00 Mbit      282000000000      291837275048      9837.28 ms      40.00 Mbit      100.0%       4.1 Mbit/s      YES           handover_eval
95              657       677       40.00 Mbit      285000000000      303611971889      18611.97 ms     40.00 Mbit      100.0%       2.1 Mbit/s      YES           handover_eval
96              656       677       40.00 Mbit      288000000000      296433275521      8433.28 ms      40.00 Mbit      100.0%       4.7 Mbit/s      YES           handover_eval
97              626       681       40.00 Mbit      291000000000      296016158389      5016.16 ms      40.00 Mbit      100.0%       8.0 Mbit/s      YES           handover_eval
98              679       628       40.00 Mbit      294000000000      300838588428      6838.59 ms      40.00 Mbit      100.0%       5.8 Mbit/s      YES           handover_eval
99              706       633       40.00 Mbit      297000000000      301753443451      4753.44 ms      40.00 Mbit      100.0%       8.4 Mbit/s      YES           handover_eval
