48,Abu-Zaby-(Abu-Dhabi),24.464778,54.361781,0.000000,3384595.195218,4720896.296015,2625226.216992
49,Tarabulus-(Tripoli),32.875190,13.187460,0.000000,5220597.170583,1223274.613647,3442340.794370
50,Pekan-Baru,0.533330,101.450000,0.000000,-1266086.397414,6250930.347570,58971.729212
51,Mombasa,-4.054660,39.663590,0.000000,4897714.922654,4060906.439965,-447974.356445
52,Hai-Phòng,20.864810,106.683450,0.000000,-1711711.767518,5711425.809894,2257414.561600
53,Cebu-City,10.316720,123.890710,0.000000,-3499392.054165,5209469.157344,1134731.084753
54,Bridgeport-Stamford,41.167040,-73.204830,0.000000,1389392.063432,-4603290.957061,4176404.737536
55,San-Miguel-de-Tucumán,-26.824140,-65.222600,0.000000,2387035.325145,-5171373.889913,-2860839.437814
56,Lilongwe,-13.966920,33.787250,0.000000,5145203.474560,3442755.682904,-1529429.960690
57,Kermanshah,34.314170,47.065000,0.000000,3592270.060330,3861010.480770,3575283.502453
58,Huzhou,30.870300,120.093300,0.000000,-2747414.293737,4740815.989996,3253558.557152
59,San-Pedro-Sula,15.500000,-88.033330,0.000000,210975.312877,-6144013.633180,1693476.953000
60,Mudanjiang,44.583330,129.600000,0.000000,-2900414.044490,3505998.310001,4454486.884042
61,Honolulu,21.308950,-157.826182,0.000000,-5505066.003423,-2243641.814776,2303295.883890
62,La-Plata,-34.921450,-57.954530,0.000000,2777871.788500,-4437683.636425,-3630724.179514
63,Campo-Grande,-20.456697,-54.618515,0.000000,3461572.362608,-4874240.482033,-2215137.310033
64,Valencia,39.469750,-0.377390,0.000000,4930232.918600,-32474.425252,4032710.392785
65,Trujillo,-8.115990,-79.029980,0.000000,1201653.139846,-6199286.026351,-894481.065610
66,Nnewi,6.019860,6.914780,0.000000,6297058.559916,763676.042733,664441.966401
67,Kraków-(Cracow),50.066777,19.942468,0.000000,3856185.826131,1399153.423083,4867558.770433
68,Guntur,16.300000,80.450000,0.000000,1015919.607053,6038519.716500,1778615.485945
69,Zaporizhzhya,47.822890,35.190310,0.000000,3506239.850824,2472492.175346,4703675.541562
70,Nyala,12.050000,24.883330,0.000000,5659365.286865,2624988.818468,1322811.951067
71,Tulsa,36.131294,-95.937332,0.000000,-533486.825634,-5129754.197995,3739966.967207
72,Panjin,41.121893,122.070073,0.000000,-2554799.885060,4077429.521307,4172629.023772
73,Cheongju,36.637220,127.489720,0.000000,-3118636.033116,4065795.834897,3785163.223597
74,Banjarmasin,-3.324420,114.591000,0.000000,-2649747.458997,5789953.115255,-367393.156506
75,Cape-Coral,26.639600,-81.982471,0.000000,795697.155608,-5649138.588445,2842577.882988
76,Liège,50.633730,5.567490,0.000000,4034489.960568,393274.123408,4907800.210989
77,Makhachkala,42.976380,47.502360,0.000000,3157391.681267,3445973.334285,4325581.166430
78,Busto-Arsizio,45.611280,8.849140,0.000000,4416096.969712,687526.702657,4535128.236014
79,Zhaoqing,23.051160,112.459720,0.000000,-2243260.894998,5426497.986278,2481932.993987
80,Gaza-(incl.-Ash-Shati-Camp),31.510618,34.458756,0.000000,4487619.550126,3079501.544659,3314289.917858
81,Riga,56.946000,24.105890,0.000000,3182934.028248,1424187.892918,5322621.134943
82,Temecula-Murrieta,33.536350,-117.163050,0.000000,-2429549.707539,-4734900.799987,3503694.658085
83,Bari,41.117730,16.851180,0.000000,4605378.808465,1394935.840899,4172280.736234
84,Suining--Sichuan,30.523613,105.563901,0.000000,-1475453.480156,5297364.041184,3220508.979121
85,Provo-Orem,40.233840,-111.658530,0.000000,-1799596.614941,-4531731.435365,4097840.617014
86,Ibagué,4.438890,-75.232220,0.000000,1620955.385273,-6149069.050548,490345.903793
87,Ulyanovsk,54.328240,48.386570,0.000000,2475500.963447,2786907.819892,5158132.824611
88,Larkana,27.550000,68.216667,0.000000,2100025.799407,5254871.668749,2932382.981672
89,Gold-Coast,-28.000290,153.430880,0.000000,-5040547.014457,2520720.962121,-2976532.885777
90,Agartala,23.836390,91.275000,0.000000,-129886.239461,5835846.978747,2561717.945424
91,Kemerovo,55.333330,86.083330,0.000000,248368.106693,3627640.685475,5222578.117522
92,Yazd,31.897220,54.367500,0.000000,3157656.594451,4405286.622855,3350760.072181
93,Mathura,27.500000,77.683330,0.000000,1207684.414169,5531208.645848,2927469.535029
94,Djibouti,11.587670,43.144680,0.000000,4559440.657587,4273323.016367,1272752.983208
95,Sheikhupura,31.713056,73.978333,0.000000,1498919.066019,5219901.253777,3333405.581370
96,Ryazan,54.626900,39.691600,0.000000,2847537.849761,2363366.340201,5177448.861349
97,Namangan,40.998300,71.672570,0.000000,1515858.600043,4576182.839730,4162279.615641
98,Shishi,24.736683,118.634046,0.000000,-2777654.742742,5087384.088918,2652610.483524
99,Miluo,28.806933,113.072064,0.000000,-2191903.026066,5145795.626104,3055167.487525
