UDP burst ID    From      To        Target rate         Start time      Duration        Incoming rate (w/ headers)  Incoming rate (payload)     Packets received   Data received (w/headers)   Data received (payload)     Metadata
52              678       691       2.00 Mbit/s         520000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
53              637       713       2.00 Mbit/s         530000.00 ms    12000.00 ms     1.98 Mbit/s                 1.94 Mbit/s                 1980               23.76 Mbit                  23.32 Mbit                  handover_eval
54              663       691       2.00 Mbit/s         540000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
55              698       682       2.00 Mbit/s         550000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
56              665       700       2.00 Mbit/s         560000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
57              697       704       2.00 Mbit/s         570000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
58              674       718       2.00 Mbit/s         580000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
59              712       722       2.00 Mbit/s         590000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
60              719       656       2.00 Mbit/s         600000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
61              723       674       2.00 Mbit/s         610000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
62              688       626       2.00 Mbit/s         620000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
63              701       647       2.00 Mbit/s         630000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
64              655       720       2.00 Mbit/s         640000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
65              660       663       2.00 Mbit/s         650000.00 ms    12000.00 ms     1.94 Mbit/s                 1.90 Mbit/s                 1941               23.29 Mbit                  22.86 Mbit                  handover_eval
66              669       651       2.00 Mbit/s         660000.00 ms    12000.00 ms     1.96 Mbit/s                 1.92 Mbit/s                 1961               23.53 Mbit                  23.09 Mbit                  handover_eval
67              666       711       2.00 Mbit/s         670000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
68              672       650       2.00 Mbit/s         680000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
69              642       659       2.00 Mbit/s         690000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
70              677       676       2.00 Mbit/s         700000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
71              645       643       2.00 Mbit/s         710000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
72              646       711       2.00 Mbit/s         720000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
73              719       658       2.00 Mbit/s         730000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
74              654       681       2.00 Mbit/s         740000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
75              688       709       2.00 Mbit/s         750000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000               24.00 Mbit                  23.55 Mbit                  handover_eval
