UDP burst ID    From      To        Target rate         Start time      Duration        Outgoing rate (w/ headers)  Outgoing rate (payload)     Packets sent    Data sent (w/headers)       Data sent (payload)         Metadata
39              704       628       2.00 Mbit/s         390000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
40              633       690       2.00 Mbit/s         400000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
41              722       635       2.00 Mbit/s         410000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
42              648       688       2.00 Mbit/s         420000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
43              708       705       2.00 Mbit/s         430000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
44              655       652       2.00 Mbit/s         440000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
45              650       702       2.00 Mbit/s         450000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
46              665       636       2.00 Mbit/s         460000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
47              657       718       2.00 Mbit/s         470000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
48              628       711       2.00 Mbit/s         480000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
49              679       639       2.00 Mbit/s         490000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
50              637       658       2.00 Mbit/s         500000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
51              630       704       2.00 Mbit/s         510000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
52              678       691       2.00 Mbit/s         520000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
53              637       713       2.00 Mbit/s         530000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
54              663       691       2.00 Mbit/s         540000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
55              698       682       2.00 Mbit/s         550000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
56              665       700       2.00 Mbit/s         560000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
57              697       704       2.00 Mbit/s         570000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
58              674       718       2.00 Mbit/s         580000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
59              712       722       2.00 Mbit/s         590000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
60              719       656       2.00 Mbit/s         600000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
61              723       674       2.00 Mbit/s         610000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
62              688       626       2.00 Mbit/s         620000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
63              701       647       2.00 Mbit/s         630000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
64              655       720       2.00 Mbit/s         640000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
65              660       663       2.00 Mbit/s         650000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
66              669       651       2.00 Mbit/s         660000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
67              666       711       2.00 Mbit/s         670000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
68              672       650       2.00 Mbit/s         680000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
