time_ns,gs_id,sat_id,distance_m,elevation_angle_deg,azimuth_angle_deg,distance_rate_m_per_s,time_to_loss_s,signal_margin_percent,estimated_snr_db,path_loss_db,bandwidth_available_mbps,utilization_percent,num_active_connections,estimated_queue_latency_ms,hops_to_destination,num_satellite_alternatives,connection_stability_score,orbit_phase_percent,connection_age_s,gs_latitude_deg,gs_longitude_deg,sat_latitude_deg,sat_longitude_deg,visible
0,2,608,563031.6875,79.72549920018973,163.5546443556148,-453.4231872558594,inf,48.81530113636363,-136.40160060256224,176.40160060256224,10.0,0.0,0,0.0,11,4,0.0,35.583286608578774,0.0,41.85003,-87.65005,40.87673899370745,-87.33881053967946,1
0,3,91,713257.1875,48.677439988171066,223.9017289181303,941.23681640625,410.88789320484545,35.1584375,-138.4558669835501,178.4558669835501,5.0,33.333333333333336,2,333.33333333333337,1,2,0.0,65.8651321653752,0.0,10.75,106.66667,7.865562178369351,103.9389364494243,1
0,3,380,694969.0,50.361207977078855,107.49034794988579,1210.1434326171875,334.6966889073934,36.821000000000005,-138.2302525037184,178.2302525037184,5.0,0.0,0,0.0,24,2,0.0,51.217031313428805,0.0,10.75,106.66667,9.562614031439168,110.21687067409567,1
0,4,126,636835.8125,59.993287593697985,227.5045444222853,-3357.84814453125,inf,42.10583522727273,-137.47149340857783,177.47149340857783,10.0,0.0,0,0.0,17,3,0.0,28.11837655863398,0.0,-33.45694,-70.64827,-35.052028801601445,-73.02129969960703,1
0,4,345,686834.625,53.015217997965294,201.72010219224526,1458.3096923828125,283.3179928502747,37.56048863636363,-138.12798746631526,178.12798746631526,10.0,0.0,0,0.0,3,3,0.0,88.96380209836819,0.0,-33.45694,-70.64827,-36.460451374498504,-72.2205146609364,1
0,4,369,1026187.0,29.119667997986866,0.039583857741759744,-4518.54931640625,inf,6.710272727272725,-141.6154740207353,181.6154740207353,10.0,50.0,1,500.0,1,3,0.0,50.23138746052518,0.0,-33.45694,-70.64827,-25.860055839246662,-70.64257703812336,1
0,5,229,927895.125,33.050838016301064,7.8278211143368,5050.89404296875,34.07414084236905,15.645897727272729,-140.74092170914727,180.74092170914727,10.0,0.0,0,0.0,2,2,0.0,12.48461667558579,0.0,-8.83682,13.23432,-2.394696766405028,14.111404759225417,1
0,5,542,868513.3125,36.54279613513218,341.57549276953324,-5187.5703125,inf,21.044244318181814,-140.16647344200624,180.16647344200624,10.0,0.0,0,0.0,24,2,0.0,88.68205249402868,0.0,-8.83682,13.23432,-3.2956858028416276,11.407250050773682,1
0,6,6,889085.375,35.173568602787235,145.7704027004107,-1878.6407470703125,inf,19.174056818181818,-140.36981317636872,180.36981317636872,10.0,50.0,1,500.0,1,3,0.0,74.03395164208229,0.0,25.66667,-100.31667,20.50345095436019,-96.7025764200384,1
0,6,389,811510.1875,40.43947369813782,333.2744087013799,-4968.04931640625,inf,26.22634659090909,-139.5768233731869,179.5768233731869,10.0,50.0,1,500.0,19,3,0.0,4.315797198878715,0.0,25.66667,-100.31667,30.07463772698137,-102.97337992721627,1
0,6,607,837777.125,38.46698678282442,351.50910133234635,3310.47607421875,79.21001968331181,23.83844318181818,-139.85351380948242,179.85351380948242,10.0,50.0,1,500.0,3,3,0.0,96.85087197073577,0.0,25.66667,-100.31667,30.902794748750832,-101.25092916194411,1
0,7,71,1016978.6875,29.966468021095878,187.8001493430026,2419.97119140625,34.30673587967638,7.547392045454549,-141.53718088165402,181.53718088165402,10.0,0.0,0,0.0,11,4,0.0,11.780722427021669,0.0,-37.814,144.96332,-44.87094141277711,143.56813114594516,1
