gs_id,time_ns,old_sat,new_sat
47,5820000000000,235,186
48,5820000000000,306,-1
49,5820000000000,-1,207
50,5820000000000,429,116
51,5820000000000,-1,328
52,5820000000000,-1,164
54,5820000000000,-1,33
56,5820000000000,-1,617
57,5820000000000,282,-1
58,5820000000000,-1,189
60,5820000000000,262,383
61,5820000000000,-1,556
62,5820000000000,201,419
63,5820000000000,177,-1
64,5820000000000,13,613
65,5820000000000,128,417
66,5820000000000,-1,254
67,5820000000000,184,86
68,5820000000000,115,90
69,5820000000000,-1,87
71,5820000000000,463,-1
72,5820000000000,383,-1
73,5820000000000,213,-1
74,5820000000000,-1,453
75,5820000000000,464,-1
76,5820000000000,159,61
77,5820000000000,258,112
78,5820000000000,159,37
79,5820000000000,406,-1
81,5820000000000,111,135
82,5820000000000,-1,607
83,5820000000000,208,62
84,5820000000000,-1,164
85,5820000000000,438,-1
86,5820000000000,441,-1
87,5820000000000,185,-1
88,5820000000000,331,-1
89,5820000000000,169,-1
90,5820000000000,-1,139
91,5820000000000,-1,235
92,5820000000000,282,-1
93,5820000000000,114,-1
96,5820000000000,136,160
97,5820000000000,-1,283
98,5820000000000,189,-1
99,5820000000000,-1,406
0,5880000000000,-1,55
1,5880000000000,-1,140
2,5880000000000,8,487
3,5880000000000,405,140
4,5880000000000,-1,394
6,5880000000000,31,-1
7,5880000000000,120,550
8,5880000000000,-1,382
9,5880000000000,-1,544
10,5880000000000,230,590
11,5880000000000,-1,308
12,5880000000000,-1,238
13,5880000000000,437,461
14,5880000000000,468,-1
15,5880000000000,38,232
16,5880000000000,-1,105
17,5880000000000,105,465
18,5880000000000,566,229
19,5880000000000,-1,262
20,5880000000000,-1,90
21,5880000000000,134,85
22,5880000000000,569,593
23,5880000000000,153,466
24,5880000000000,-1,188
25,5880000000000,-1,104
26,5880000000000,-1,613
27,5880000000000,-1,212
28,5880000000000,-1,565
29,5880000000000,94,-1
30,5880000000000,110,-1
31,5880000000000,152,-1
32,5880000000000,-1,512
33,5880000000000,-1,607
34,5880000000000,-1,117
36,5880000000000,-1,257
37,5880000000000,178,491
38,5880000000000,-1,438
39,5880000000000,-1,185
40,5880000000000,-1,600
41,5880000000000,-1,355
42,5880000000000,-1,39
43,5880000000000,492,-1
45,5880000000000,-1,616
46,5880000000000,592,-1
47,5880000000000,186,210
48,5880000000000,-1,64
49,5880000000000,207,13
50,5880000000000,116,-1
51,5880000000000,328,16
52,5880000000000,164,-1
53,5880000000000,-1,165
54,5880000000000,33,512
55,5880000000000,-1,176
56,5880000000000,617,-1
57,5880000000000,-1,257
58,5880000000000,189,406
59,5880000000000,-1,80
60,5880000000000,383,-1
61,5880000000000,556,580
62,5880000000000,419,-1
63,5880000000000,-1,443
64,5880000000000,613,182
65,5880000000000,417,-1
66,5880000000000,254,-1
67,5880000000000,86,-1
68,5880000000000,90,355
69,5880000000000,87,111
70,5880000000000,-1,615
71,5880000000000,-1,32
72,5880000000000,-1,237
73,5880000000000,-1,407
74,5880000000000,453,-1
75,5880000000000,-1,56
76,5880000000000,61,134
77,5880000000000,112,-1
78,5880000000000,37,-1
79,5880000000000,-1,164
80,5880000000000,-1,63
81,5880000000000,135,-1
82,5880000000000,607,413
83,5880000000000,62,37
84,5880000000000,164,381
85,5880000000000,-1,607
86,5880000000000,-1,104
87,5880000000000,-1,209
89,5880000000000,-1,551
90,5880000000000,139,-1
91,5880000000000,235,-1
92,5880000000000,-1,88
94,5880000000000,-1,40
95,5880000000000,-1,331
96,5880000000000,160,-1
97,5880000000000,283,137
99,5880000000000,406,-1
0,5940000000000,55,-1
1,5940000000000,140,404
2,5940000000000,487,-1
3,5940000000000,140,-1
4,5940000000000,394,-1
5,5940000000000,-1,591
7,5940000000000,550,-1
8,5940000000000,382,-1
9,5940000000000,544,-1
10,5940000000000,590,-1
11,5940000000000,308,162
12,5940000000000,238,-1
13,5940000000000,461,558
14,5940000000000,-1,201
15,5940000000000,232,-1
16,5940000000000,105,-1
17,5940000000000,465,-1
18,5940000000000,229,-1
19,5940000000000,262,-1
20,5940000000000,90,-1
21,5940000000000,85,109
22,5940000000000,593,326
23,5940000000000,466,-1
24,5940000000000,188,-1
25,5940000000000,104,-1
26,5940000000000,613,181
27,5940000000000,212,-1
28,5940000000000,565,204
30,5940000000000,-1,134
32,5940000000000,512,487
33,5940000000000,607,582
34,5940000000000,117,-1
35,5940000000000,-1,56
36,5940000000000,257,-1
37,5940000000000,491,-1
38,5940000000000,438,-1
39,5940000000000,185,-1
40,5940000000000,600,-1
41,5940000000000,355,-1
42,5940000000000,39,-1
44,5940000000000,-1,114
45,5940000000000,616,-1
46,5940000000000,-1,278
47,5940000000000,210,-1
48,5940000000000,64,-1
49,5940000000000,13,-1
51,5940000000000,16,-1
52,5940000000000,-1,405
53,5940000000000,165,-1
54,5940000000000,512,-1
55,5940000000000,176,418
56,5940000000000,-1,327
57,5940000000000,257,281
58,5940000000000,406,-1
59,5940000000000,80,439
60,5940000000000,-1,237
61,5940000000000,580,314
63,5940000000000,443,-1
64,5940000000000,182,-1
66,5940000000000,-1,590
67,5940000000000,-1,110
68,5940000000000,355,-1
69,5940000000000,111,208
70,5940000000000,615,279
71,5940000000000,32,7
72,5940000000000,237,212
73,5940000000000,407,-1
74,5940000000000,-1,141
75,5940000000000,56,-1
76,5940000000000,134,85
77,5940000000000,-1,87
78,5940000000000,-1,61
79,5940000000000,164,-1
80,5940000000000,63,256
81,5940000000000,-1,159
82,5940000000000,413,-1
83,5940000000000,37,-1
84,5940000000000,381,-1
85,5940000000000,607,-1
86,5940000000000,104,-1
87,5940000000000,209,160
88,5940000000000,-1,113
89,5940000000000,551,-1
90,5940000000000,-1,380
91,5940000000000,-1,259
92,5940000000000,88,-1
93,5940000000000,-1,331
94,5940000000000,40,304
95,5940000000000,331,-1
96,5940000000000,-1,184
97,5940000000000,137,-1
98,5940000000000,-1,406
99,5940000000000,-1,188
0,6000000000000,-1,414
1,6000000000000,404,-1
2,6000000000000,-1,32
4,6000000000000,-1,175
5,6000000000000,591,277
6,6000000000000,-1,438
7,6000000000000,-1,144
8,6000000000000,-1,212
9,6000000000000,-1,325
10,6000000000000,-1,254
11,6000000000000,162,186
12,6000000000000,-1,431
13,6000000000000,558,-1
14,6000000000000,201,-1
15,6000000000000,-1,62
16,6000000000000,-1,464
19,6000000000000,-1,432
20,6000000000000,-1,354
21,6000000000000,109,60
22,6000000000000,326,-1
24,6000000000000,-1,381
26,6000000000000,181,-1
27,6000000000000,-1,357
28,6000000000000,204,-1
29,6000000000000,-1,500
30,6000000000000,134,85
31,6000000000000,-1,442
32,6000000000000,487,32
33,6000000000000,582,412
34,6000000000000,-1,452
35,6000000000000,56,-1
36,6000000000000,-1,62
38,6000000000000,-1,6
39,6000000000000,-1,209
40,6000000000000,-1,194
41,6000000000000,-1,89
42,6000000000000,-1,280
43,6000000000000,-1,202
44,6000000000000,114,355
46,6000000000000,278,591
47,6000000000000,-1,234
48,6000000000000,-1,305
49,6000000000000,-1,231
50,6000000000000,-1,428
52,6000000000000,405,-1
54,6000000000000,-1,57
55,6000000000000,418,-1
56,6000000000000,327,-1
57,6000000000000,281,-1
59,6000000000000,439,-1
60,6000000000000,237,261
61,6000000000000,314,-1
62,6000000000000,-1,200
63,6000000000000,-1,176
64,6000000000000,-1,12
65,6000000000000,-1,127
66,6000000000000,590,-1
67,6000000000000,110,183
68,6000000000000,-1,114
69,6000000000000,208,-1
70,6000000000000,279,-1
71,6000000000000,7,462
72,6000000000000,212,382
73,6000000000000,-1,237
74,6000000000000,141,-1
75,6000000000000,-1,463
76,6000000000000,85,158
77,6000000000000,87,257
78,6000000000000,61,158
79,6000000000000,-1,405
80,6000000000000,256,-1
81,6000000000000,159,110
82,6000000000000,-1,606
83,6000000000000,-1,207
85,6000000000000,-1,437
86,6000000000000,-1,440
87,6000000000000,160,184
88,6000000000000,113,330
89,6000000000000,-1,168
90,6000000000000,380,-1
91,6000000000000,259,-1
92,6000000000000,-1,281
93,6000000000000,331,113
94,6000000000000,304,-1
96,6000000000000,184,135
97,6000000000000,-1,307
98,6000000000000,406,188
99,6000000000000,188,-1
0,6060000000000,414,-1
2,6060000000000,32,7
3,6060000000000,-1,404
4,6060000000000,175,-1
5,6060000000000,277,-1
6,6060000000000,438,30
7,6060000000000,144,599
8,6060000000000,212,-1
9,6060000000000,325,-1
10,6060000000000,254,614
11,6060000000000,186,-1
12,6060000000000,431,-1
13,6060000000000,-1,436
14,6060000000000,-1,467
15,6060000000000,62,231
16,6060000000000,464,-1
17,6060000000000,-1,104
18,6060000000000,-1,565
19,6060000000000,432,407
20,6060000000000,354,-1
21,6060000000000,60,133
22,6060000000000,-1,592
23,6060000000000,-1,465
24,6060000000000,381,-1
27,6060000000000,357,-1
29,6060000000000,500,93
30,6060000000000,85,109
31,6060000000000,442,151
32,6060000000000,32,-1
33,6060000000000,412,-1
34,6060000000000,452,-1
35,6060000000000,-1,487
36,6060000000000,62,-1
37,6060000000000,-1,490
38,6060000000000,6,-1
39,6060000000000,209,-1
40,6060000000000,194,-1
41,6060000000000,89,-1
42,6060000000000,280,-1
43,6060000000000,202,491
44,6060000000000,355,-1
46,6060000000000,591,-1
47,6060000000000,234,-1
48,6060000000000,305,-1
49,6060000000000,231,206
50,6060000000000,428,115
51,6060000000000,-1,327
52,6060000000000,-1,163
53,6060000000000,-1,189
54,6060000000000,57,32
55,6060000000000,-1,175
56,6060000000000,-1,616
57,6060000000000,-1,87
58,6060000000000,-1,188
60,6060000000000,261,382
61,6060000000000,-1,555
62,6060000000000,200,418
63,6060000000000,176,-1
64,6060000000000,12,612
65,6060000000000,127,416
66,6060000000000,-1,253
67,6060000000000,183,85
68,6060000000000,114,-1
69,6060000000000,-1,86
71,6060000000000,462,-1
72,6060000000000,382,-1
73,6060000000000,237,406
74,6060000000000,-1,452
75,6060000000000,463,-1
76,6060000000000,158,60
77,6060000000000,257,111
78,6060000000000,158,36
79,6060000000000,405,-1
81,6060000000000,110,134
82,6060000000000,606,-1
83,6060000000000,207,61
84,6060000000000,-1,163
85,6060000000000,437,-1
86,6060000000000,440,-1
87,6060000000000,184,-1
